,Player,Match_played,Starts,Minutes_played,goals,assist,Shots,shots_on_target,non_penalty_goals,penalty_goal,yellow_card,red_card,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
110,Wout Weghorst,4,0,64,2,0,2,2,2,0,1,0,9.0,15.0,60.0,0.0,0,1.0,0,1.0,22.0,0.0,0.0,0.0,5,1,1,0,0.0,0.0,0,2.0,2.0,FW,29,Turkey,Beaiktaa,Netherlands
111,Luuk de Jong,1,0,57,0,0,1,0,0,0,0,0,8.0,12.0,66.7,2.0,1,0.0,0,1.0,19.0,0.0,1.0,0.0,1,1,1,0,0.0,0.0,0,3.0,3.0,FW,31,Netherlands,PSV Eindhoven,Netherlands
112,Xavi Simons,1,0,9,0,0,0,0,0,0,0,0,6.0,10.0,60.0,1.0,0,0.0,0,0.0,11.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,1.0,0.0,FWMF,19,Netherlands,PSV Eindhoven,Netherlands
113,Noa Lang,1,0,8,0,0,0,0,0,0,1,0,1.0,3.0,33.3,0.0,0,1.0,1,1.0,5.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,0.0,0.0,MF,22,Belgium,Club Brugge,Netherlands
114,Kenneth Taylor,1,0,5,0,0,0,0,0,0,0,0,8.0,8.0,100.0,0.0,0,0.0,0,0.0,9.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,MF,20,Netherlands,Ajax,Netherlands
115,Jordan Pickford,5,5,450,0,0,0,0,0,0,0,0,126.0,160.0,78.8,0.0,0,0.0,0,2.0,169.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,28,England,Everton,England
116,John Stones,5,5,434,0,0,4,1,0,0,0,0,435.0,454.0,95.8,2.0,2,3.0,1,8.0,475.0,2.0,2.0,100.0,4,3,0,0,0.0,1.0,0,6.0,4.0,DF,28,England,Manchester City,England
117,Harry Maguire,5,5,429,0,1,6,1,0,0,1,0,354.0,407.0,87.0,7.0,3,4.0,4,18.0,447.0,2.0,2.0,100.0,6,2,1,1,0.0,0.0,0,15.0,5.0,DF,29,England,Manchester Utd,England
118,Luke Shaw,5,5,424,0,1,3,1,0,0,0,0,335.0,400.0,83.8,3.0,1,2.0,4,5.0,420.0,2.0,2.0,100.0,5,4,0,22,0.0,0.0,0,3.0,9.0,DF,26,England,Manchester Utd,England
119,Declan Rice,5,5,417,0,0,0,0,0,0,0,0,300.0,322.0,93.2,6.0,5,4.0,11,5.0,360.0,0.0,3.0,0.0,3,2,0,4,0.0,0.0,0,3.0,3.0,MF,23,England,West Ham,England
120,Jude Bellingham,5,5,414,1,1,5,3,1,0,0,0,235.0,265.0,88.7,16.0,15,10.0,5,0.0,324.0,6.0,13.0,46.2,5,5,0,4,0.0,0.0,0,6.0,9.0,MF,18,Germany,Dortmund,England
121,Harry Kane,5,5,402,2,3,10,5,1,1,0,0,62.0,98.0,63.3,2.0,1,2.0,0,5.0,142.0,4.0,8.0,50.0,1,9,0,6,0.0,0.0,0,9.0,13.0,FW,28,England,Tottenham,England
122,Bukayo Saka,4,4,288,3,0,7,5,3,0,0,0,84.0,108.0,77.8,7.0,4,5.0,2,2.0,150.0,2.0,11.0,18.2,7,6,2,5,1.0,0.0,0,1.0,1.0,FW,20,England,Arsenal,England
123,Jordan Henderson,4,3,271,1,0,2,1,1,0,0,0,137.0,163.0,84.0,4.0,2,3.0,1,0.0,178.0,0.0,2.0,0.0,5,4,0,8,0.0,0.0,0,2.0,2.0,MF,31,England,Liverpool,England
124,Phil Foden,4,3,258,1,2,6,1,1,0,0,0,90.0,117.0,76.9,1.0,1,2.0,1,0.0,144.0,3.0,6.0,50.0,2,4,0,14,0.0,0.0,0,3.0,5.0,FWMF,22,England,Manchester City,England
125,Kyle Walker,3,3,236,0,0,0,0,0,0,0,0,162.0,181.0,89.5,3.0,1,2.0,3,3.0,197.0,2.0,3.0,66.7,3,3,0,2,0.0,0.0,0,4.0,2.0,DF,32,England,Manchester City,England
126,Kieran Trippier,3,2,206,0,0,1,0,0,0,0,0,165.0,195.0,84.6,6.0,4,3.0,1,4.0,207.0,1.0,1.0,100.0,1,0,0,10,0.0,0.0,0,4.0,1.0,DF,31,England,Newcastle Utd,England
127,Mason Mount,4,2,186,0,0,4,1,0,0,0,0,61.0,73.0,83.6,2.0,2,2.0,0,0.0,91.0,2.0,3.0,66.7,7,9,0,3,1.0,0.0,0,0.0,3.0,MF,23,England,Chelsea,England
128,Raheem Sterling,3,2,149,1,1,1,1,1,0,0,0,45.0,55.0,81.8,1.0,1,1.0,1,0.0,69.0,2.0,3.0,66.7,0,2,1,2,0.0,0.0,0,1.0,1.0,FW,27,England,Chelsea,England
129,Marcus Rashford,5,1,140,3,0,11,6,3,0,0,0,49.0,66.0,74.2,1.0,0,2.0,1,1.0,92.0,5.0,9.0,55.6,1,0,1,1,0.0,0.0,0,1.0,3.0,FW,24,England,Manchester Utd,England
130,Jack Grealish,5,0,86,1,0,1,1,1,0,0,0,48.0,54.0,88.9,3.0,1,2.0,3,1.0,72.0,3.0,9.0,33.3,0,10,0,0,0.0,0.0,0,0.0,2.0,FW,26,England,Manchester City,England
131,Callum Wilson,2,0,48,0,1,0,0,0,0,0,0,9.0,10.0,90.0,0.0,0,0.0,0,0.0,17.0,0.0,1.0,0.0,0,2,0,0,0.0,0.0,0,1.0,0.0,FW,30,England,Newcastle Utd,England
132,Kalvin Phillips,2,0,42,0,1,0,0,0,0,0,0,17.0,19.0,89.5,0.0,0,0.0,0,1.0,20.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,2.0,MF,26,England,Manchester City,England
133,Eric Dier,2,0,36,0,0,0,0,0,0,0,0,40.0,41.0,97.6,1.0,1,0.0,0,0.0,44.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,1.0,1.0,DF,28,England,Tottenham,England
134,Trent Alexander Arnold,1,0,34,0,0,0,0,0,0,0,0,21.0,23.0,91.3,0.0,0,1.0,0,0.0,24.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0.0,DF,23,England,Liverpool,England
135,Marquinhos,5,4,426,0,0,2,0,0,0,1,0,352.0,368.0,95.7,5.0,4,6.0,2,6.0,392.0,1.0,1.0,100.0,1,2,0,1,0.0,0.0,0,4.0,4.0,DF,28,France,Paris SG,Brazil
136,Casemiro,4,4,390,1,0,9,3,1,0,1,0,208.0,251.0,82.9,11.0,4,13.0,7,5.0,303.0,1.0,3.0,33.3,7,3,0,2,0.0,0.0,0,3.0,3.0,MF,30,England,Manchester Utd,Brazil
137,Thiago Silva,4,4,390,0,1,2,0,0,0,0,0,322.0,344.0,93.6,3.0,1,3.0,5,6.0,369.0,0.0,1.0,0.0,2,3,0,1,0.0,0.0,0,6.0,4.0,DF,37,England,Chelsea,Brazil
138,Alisson,4,4,379,0,0,0,0,0,0,0,0,80.0,93.0,86.0,0.0,0,0.0,0,2.0,100.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,1.0,0.0,GK,29,England,Liverpool,Brazil
139,Ander Militao,4,4,347,0,0,5,1,0,0,1,0,251.0,277.0,90.6,7.0,6,1.0,3,5.0,307.0,0.0,0.0,0.0,7,3,0,3,0.0,0.0,0,4.0,5.0,DF,24,Spain,Real Madrid,Brazil
140,Richarlison,4,4,323,3,0,8,4,3,0,0,0,40.0,58.0,69.0,2.0,2,4.0,1,4.0,99.0,0.0,5.0,0.0,5,6,1,2,1.0,0.0,0,4.0,8.0,FW,25,England,Tottenham,Brazil
141,Raphinha,5,4,315,0,1,8,6,0,0,0,0,111.0,150.0,74.0,8.0,6,3.0,3,0.0,194.0,4.0,15.0,26.7,2,5,0,22,0.0,0.0,0,0.0,6.0,FW,25,Spain,Barcelona,Brazil
142,Lucas Paquetai,4,4,314,1,1,4,4,1,0,0,0,169.0,202.0,83.7,7.0,5,5.0,2,4.0,231.0,0.0,2.0,0.0,4,2,0,4,0.0,0.0,0,3.0,2.0,MF,24,England,West Ham,Brazil
143,Vinicius Junior,4,4,299,1,2,9,4,1,0,0,0,68.0,90.0,75.6,3.0,1,5.0,0,0.0,135.0,5.0,15.0,33.3,0,7,3,12,0.0,0.0,0,0.0,0.0,FW,21,Spain,Real Madrid,Brazil
144,Danilo,3,3,281,0,0,2,0,0,0,1,0,230.0,269.0,85.5,5.0,2,2.0,3,5.0,291.0,1.0,1.0,100.0,3,1,0,8,0.0,0.0,0,4.0,1.0,DF,30,Italy,Juventus,Brazil
145,Neymar,3,3,279,2,0,11,6,1,1,0,0,121.0,153.0,79.1,1.0,0,2.0,1,0.0,209.0,6.0,23.0,26.1,4,16,2,8,0.0,0.0,0,0.0,3.0,MF,30,France,Paris SG,Brazil
146,Alex Sandro,3,2,190,0,0,1,0,0,0,0,0,150.0,169.0,88.8,8.0,3,1.0,3,9.0,195.0,1.0,2.0,50.0,3,2,0,4,0.0,0.0,0,3.0,1.0,DF,31,Italy,Juventus,Brazil
147,Fred,4,2,142,0,0,3,1,0,0,1,0,71.0,83.0,85.5,3.0,3,1.0,0,3.0,98.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0,0.0,2.0,MF,29,England,Manchester Utd,Brazil
148,Rodrigo,5,1,181,0,1,6,2,0,0,0,0,91.0,113.0,80.5,4.0,1,6.0,2,1.0,153.0,2.0,9.0,22.2,3,6,1,9,0.0,0.0,0,0.0,3.0,MFFW,21,Spain,Real Madrid,Brazil
149,Antony,4,1,172,0,0,6,2,0,0,0,0,86.0,109.0,78.9,3.0,0,3.0,1,1.0,148.0,4.0,16.0,25.0,2,5,0,10,0.0,0.0,0,1.0,2.0,FW,22,England,Manchester Utd,Brazil
150,Dani Alves,2,1,118,0,0,3,0,0,0,0,0,83.0,97.0,85.6,5.0,4,1.0,2,2.0,113.0,1.0,2.0,50.0,5,2,0,6,0.0,0.0,0,1.0,1.0,DF,39,Mexico,UNAM,Brazil
151,Martinelli,3,1,113,0,0,4,3,0,0,0,0,34.0,45.0,75.6,2.0,1,2.0,0,1.0,72.0,3.0,10.0,30.0,2,3,1,5,0.0,0.0,0,0.0,2.0,FW,20,England,Arsenal,Brazil
152,Gleison Bremer,2,1,109,0,0,1,0,0,0,0,0,78.0,84.0,92.9,1.0,1,1.0,1,6.0,95.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,5.0,0.0,DF,25,Italy,Juventus,Brazil
153,Gabriel Jesus,3,1,93,0,0,2,1,0,0,0,0,22.0,28.0,78.6,2.0,1,0.0,2,0.0,39.0,1.0,2.0,50.0,1,4,0,1,0.0,0.0,0,1.0,1.0,FW,25,England,Arsenal,Brazil
154,Ederson,1,1,90,0,0,0,0,0,0,0,0,28.0,31.0,90.3,0.0,0,0.0,0,0.0,32.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,28,England,Manchester City,Brazil
155,Fabinho,1,1,90,0,0,0,0,0,0,0,0,51.0,57.0,89.5,3.0,2,0.0,1,2.0,64.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,1.0,6.0,MF,28,England,Liverpool,Brazil
156,Alex Telles,2,1,59,0,0,0,0,0,0,0,0,33.0,42.0,78.6,2.0,2,0.0,0,1.0,46.0,0.0,0.0,0.0,1,0,0,3,0.0,0.0,0,1.0,1.0,DF,29,Spain,Sevilla,Brazil
157,Bruno Guimaraes,2,0,69,0,0,5,2,0,0,1,0,43.0,54.0,79.6,0.0,0,1.0,0,0.0,67.0,2.0,2.0,100.0,2,2,0,3,0.0,0.0,0,1.0,0.0,MF,24,England,Newcastle Utd,Brazil
158,Pedro,2,0,64,0,0,4,1,0,0,0,0,10.0,13.0,76.9,2.0,2,0.0,1,0.0,25.0,0.0,0.0,0.0,2,1,0,0,0.0,0.0,0,0.0,1.0,FW,24,Brazil,Flamengo,Brazil
159,Everton Ribeiro,1,0,36,0,0,0,0,0,0,0,0,15.0,18.0,83.3,1.0,0,0.0,0,0.0,21.0,0.0,1.0,0.0,0,0,0,2,0.0,0.0,0,0.0,0.0,MF,33,Brazil,Flamengo,Brazil
160,Weverton,1,0,11,0,0,0,0,0,0,0,0,3.0,5.0,60.0,0.0,0,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,34,Brazil,Palmeiras,Brazil
161,Diogo Costa,5,5,450,0,0,0,0,0,0,0,0,113.0,160.0,70.6,1.0,0,0.0,0,4.0,170.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,GK,22,Portugal,Porto,Portugal
162,Ruben Dias,4,4,360,0,0,1,0,0,0,1,0,248.0,274.0,90.5,4.0,4,2.0,3,9.0,293.0,0.0,0.0,0.0,4,2,0,0,0.0,0.0,0,5.0,3.0,DF,25,England,Manchester City,Portugal
163,Pepe,4,4,360,1,0,3,1,1,0,0,0,243.0,295.0,82.4,5.0,0,6.0,6,11.0,331.0,1.0,1.0,100.0,3,5,1,1,0.0,0.0,0,9.0,5.0,DF,39,Portugal,Porto,Portugal
164,Bruno Fernandes,4,4,356,2,3,7,2,1,1,1,0,188.0,233.0,80.7,4.0,3,7.0,2,4.0,272.0,3.0,6.0,50.0,2,8,1,26,0.0,0.0,0,2.0,8.0,FWMF,27,England,Manchester Utd,Portugal
165,Bernardo Silva,5,4,356,0,0,1,0,0,0,0,0,256.0,292.0,87.7,2.0,2,3.0,2,0.0,310.0,1.0,4.0,25.0,1,2,0,5,0.0,0.0,0,1.0,2.0,MF,27,England,Manchester City,Portugal
166,Joao Felix,4,4,331,1,2,11,3,1,0,1,0,91.0,122.0,74.6,4.0,2,0.0,1,1.0,156.0,2.0,8.0,25.0,8,9,1,4,0.0,0.0,0,2.0,1.0,FW,22,Spain,Atletico Madrid,Portugal
167,Ruben Neves,5,4,268,0,0,2,0,0,0,1,0,235.0,257.0,91.4,2.0,1,3.0,3,5.0,275.0,0.0,0.0,0.0,5,2,0,2,0.0,0.0,0,2.0,3.0,MF,25,England,Wolves,Portugal
168,Joao Cancelo,4,3,310,0,0,2,1,0,0,0,0,221.0,271.0,81.5,7.0,3,1.0,2,8.0,315.0,4.0,11.0,36.4,2,4,1,15,0.0,0.0,0,10.0,1.0,DF,28,England,Manchester City,Portugal
169,Cristiano Ronaldo,5,3,290,1,0,10,2,0,1,0,0,68.0,90.0,75.6,0.0,0,0.0,0,1.0,118.0,0.0,5.0,0.0,2,5,7,2,1.0,0.0,0,8.0,4.0,FW,37,England,Manchester Utd,Portugal
170,Raphael Guerreiro,4,3,279,1,2,3,1,1,0,0,0,156.0,185.0,84.3,3.0,2,3.0,3,2.0,208.0,2.0,2.0,100.0,2,1,0,13,0.0,0.0,0,2.0,1.0,DF,28,Germany,Dortmund,Portugal
171,Diogo Dalot,3,3,258,0,2,1,1,0,0,0,0,112.0,147.0,76.2,8.0,6,7.0,2,1.0,174.0,1.0,3.0,33.3,1,1,0,9,0.0,0.0,0,6.0,3.0,DF,23,England,Manchester Utd,Portugal
172,Otaivio,3,3,196,0,0,3,2,0,0,0,0,98.0,127.0,77.2,7.0,7,0.0,1,1.0,147.0,0.0,0.0,0.0,6,10,0,5,0.0,0.0,0,1.0,1.0,MF,27,Portugal,Porto,Portugal
173,William Carvalho,4,2,215,0,0,1,0,0,0,0,0,156.0,170.0,91.8,6.0,5,2.0,0,3.0,183.0,0.0,0.0,0.0,3,2,0,0,0.0,0.0,0,4.0,0.0,MF,30,Spain,Betis,Portugal
174,Gonsalo Ramos,4,2,152,3,1,7,5,3,0,0,0,25.0,31.0,80.6,1.0,1,0.0,0,2.0,56.0,0.0,2.0,0.0,2,3,3,0,0.0,0.0,0,4.0,6.0,FWMF,20,Portugal,Benfica,Portugal
175,Vitinha,3,1,120,0,0,2,2,0,0,1,0,100.0,108.0,92.6,3.0,2,0.0,1,1.0,118.0,1.0,2.0,50.0,1,3,0,2,0.0,0.0,0,0.0,1.0,MF,22,France,Paris SG,Portugal
176,Ricardo Horta,3,1,119,1,0,3,2,1,0,0,0,31.0,46.0,67.4,2.0,1,1.0,1,0.0,55.0,0.0,0.0,0.0,3,1,0,5,0.0,0.0,0,0.0,1.0,FW,27,Portugal,Braga,Portugal
177,Danilo Pereira,1,1,90,0,0,0,0,0,0,1,0,68.0,78.0,87.2,2.0,2,1.0,3,3.0,87.0,1.0,1.0,100.0,1,2,0,0,0.0,0.0,0,5.0,1.0,DF,30,France,Paris SG,Portugal
178,Antonio Silva,1,1,90,0,0,0,0,0,0,0,0,60.0,62.0,96.8,1.0,1,2.0,1,1.0,67.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,2.0,4.0,DF,18,Portugal,Benfica,Portugal
179,Joao Mario,2,1,84,0,0,0,0,0,0,0,0,37.0,40.0,92.5,2.0,1,2.0,0,0.0,51.0,0.0,1.0,0.0,0,0,0,2,0.0,0.0,0,0.0,2.0,FWMF,29,Portugal,Benfica,Portugal
180,Matheus Nunes,2,1,73,0,0,1,0,0,0,0,0,28.0,33.0,84.8,0.0,0,1.0,0,0.0,40.0,1.0,2.0,50.0,2,2,0,3,0.0,0.0,0,0.0,0.0,MF,23,England,Wolves,Portugal
181,Nuno Mendes,1,1,41,0,0,0,0,0,0,0,0,29.0,32.0,90.6,0.0,0,1.0,2,0.0,37.0,1.0,2.0,50.0,0,2,0,2,0.0,0.0,0,1.0,0.0,DF,19,France,Paris SG,Portugal
182,Rafael Leao,5,0,88,2,0,5,2,2,0,0,0,32.0,47.0,68.1,0.0,0,0.0,1,0.0,65.0,6.0,9.0,66.7,3,1,0,6,0.0,0.0,0,1.0,0.0,FW,23,Italy,Milan,Portugal
183,Joao Palhinha,3,0,38,0,0,1,0,0,0,0,0,26.0,31.0,83.9,2.0,1,1.0,1,1.0,41.0,1.0,2.0,50.0,2,0,0,0,0.0,0.0,0,0.0,3.0,MF,26,England,Fulham,Portugal
184,Andra Silva,1,0,26,0,0,0,0,0,0,0,0,9.0,11.0,81.8,0.0,0,0.0,0,0.0,14.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,2.0,FW,26,Germany,RB Leipzig,Portugal
185,Shaichi Gonda,4,4,390,0,0,0,0,0,0,0,0,68.0,113.0,60.2,0.0,0,0.0,0,1.0,124.0,0.0,0.0,0.0,1,0,0,0,0.0,1.0,0,1.0,0.0,GK,33,Japan,SPulse,Japan
186,Maya Yoshida,4,4,390,0,1,0,0,0,0,1,0,198.0,232.0,85.3,4.0,4,6.0,3,24.0,276.0,1.0,2.0,50.0,3,4,0,0,0.0,0.0,0,10.0,7.0,DF,33,Germany,Schalke 04,Japan
187,Daichi Kamada,4,4,322,0,0,6,1,0,0,0,0,83.0,104.0,79.8,7.0,3,3.0,0,3.0,139.0,3.0,4.0,75.0,1,1,3,5,0.0,0.0,0,3.0,2.0,FWMF,25,Germany,Eint Frankfurt,Japan
188,Yuto Nagatomo,4,4,209,0,0,0,0,0,0,0,0,78.0,109.0,71.6,4.0,2,2.0,0,3.0,122.0,3.0,4.0,75.0,6,0,0,6,0.0,0.0,0,1.0,2.0,MFDF,35,Japan,FC Tokyo,Japan
189,Junya Ito,4,3,324,0,1,2,1,0,0,0,0,59.0,97.0,60.8,7.0,4,4.0,5,6.0,135.0,2.0,8.0,25.0,0,5,1,14,0.0,0.0,0,3.0,6.0,MFFW,29,France,Reims,Japan
190,Wataru Endo,4,3,304,0,0,6,1,0,0,1,0,155.0,192.0,80.7,8.0,4,8.0,3,6.0,241.0,1.0,5.0,20.0,7,9,0,2,0.0,0.0,0,8.0,8.0,MF,29,Germany,Stuttgart,Japan
191,Hidemasa Morita,3,3,285,0,0,3,1,0,0,0,0,129.0,157.0,82.2,0.0,0,9.0,3,4.0,194.0,0.0,3.0,0.0,4,1,0,3,0.0,0.0,0,5.0,7.0,MF,27,Portugal,Sporting CP,Japan
192,Ko Itakura,3,3,270,0,1,3,1,0,0,2,0,98.0,111.0,88.3,9.0,5,1.0,4,16.0,152.0,0.0,2.0,0.0,5,0,0,0,0.0,0.0,0,0.0,2.0,DF,25,Germany,MGladbach,Japan
193,Daizen Maeda,3,3,180,1,0,2,1,1,0,0,0,8.0,17.0,47.1,3.0,2,4.0,3,0.0,32.0,0.0,1.0,0.0,2,3,2,0,0.0,0.0,0,1.0,6.0,FW,24,Scotland,Celtic,Japan
194,Ritsu Doan,4,2,217,2,0,4,3,2,0,0,0,36.0,56.0,64.3,6.0,5,4.0,3,2.0,94.0,4.0,8.0,50.0,3,4,0,9,0.0,0.0,0,1.0,4.0,FW,23,Germany,Freiburg,Japan
195,Shogo Taniguchi,2,2,210,0,0,2,0,0,0,1,0,72.0,85.0,84.7,1.0,0,2.0,1,10.0,105.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0,8.0,3.0,DF,30,Japan,Kawa Frontale,Japan
196,Ao Tanaka,3,2,171,1,0,1,1,1,0,0,0,48.0,69.0,69.6,3.0,1,5.0,3,2.0,85.0,0.0,1.0,0.0,1,1,0,2,0.0,0.0,0,3.0,1.0,MF,23,Germany,Dasseldorf,Japan
197,Takefusa Kubo,2,2,90,0,0,0,0,0,0,0,0,6.0,11.0,54.5,1.0,1,3.0,0,0.0,22.0,0.0,0.0,0.0,2,2,1,0,0.0,0.0,0,1.0,1.0,FW,21,Spain,Real Sociedad,Japan
198,Takehiro Tomiyasu,3,1,187,0,0,0,0,0,0,0,0,73.0,103.0,70.9,0.0,0,2.0,0,7.0,117.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,6.0,4.0,DFMF,23,England,Arsenal,Japan
199,Hiroki Sakai,2,1,119,0,0,1,0,0,0,0,0,28.0,47.0,59.6,5.0,4,2.0,1,8.0,70.0,0.0,2.0,0.0,3,1,0,2,0.0,0.0,0,3.0,8.0,MFDF,32,Japan,Urawa Reds,Japan
200,Yuki Soma,1,1,81,0,0,3,0,0,0,0,0,11.0,19.0,57.9,2.0,0,0.0,0,0.0,27.0,1.0,2.0,50.0,2,3,0,6,0.0,0.0,0,0.0,0.0,FWMF,25,Japan,Grampus,Japan
201,Miki Yamane,1,1,61,0,0,0,0,0,0,1,0,24.0,33.0,72.7,1.0,0,2.0,2,0.0,38.0,1.0,1.0,100.0,2,1,0,2,0.0,0.0,0,0.0,1.0,DFMF,28,Japan,Kawa Frontale,Japan
202,Ayase Ueda,1,1,45,0,0,0,0,0,0,0,0,7.0,12.0,58.3,0.0,0,1.0,0,2.0,23.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,1.0,0.0,FW,23,Belgium,Cercle Brugge,Japan
203,Takuma Asano,4,0,165,1,0,8,2,1,0,0,0,21.0,28.0,75.0,0.0,0,0.0,1,1.0,49.0,0.0,1.0,0.0,4,0,2,1,0.0,0.0,0,1.0,9.0,FW,27,Germany,Bochum,Japan
204,Kaoru Mitoma,4,0,165,0,1,1,1,0,0,0,0,50.0,70.0,71.4,7.0,2,4.0,2,5.0,100.0,2.0,5.0,40.0,3,1,0,0,0.0,0.0,0,2.0,3.0,MF,25,England,Brighton,Japan
205,Takumi Minamino,3,0,60,0,0,2,1,0,0,0,0,14.0,22.0,63.6,2.0,1,0.0,0,1.0,31.0,0.0,0.0,0.0,1,0,0,3,0.0,0.0,0,0.0,2.0,FW,27,France,Monaco,Japan
206,Hiroki Ito,1,0,45,0,0,0,0,0,0,0,0,58.0,63.0,92.1,0.0,0,0.0,0,0.0,64.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0,1.0,0.0,DF,23,Germany,Stuttgart,Japan
207,Kalidou Koulibaly,4,4,360,1,0,2,1,1,0,1,0,156.0,205.0,76.1,12.0,9,4.0,2,30.0,261.0,0.0,0.0,0.0,3,3,0,0,0.0,0.0,0,11.0,5.0,DF,30,England,Chelsea,Senegal
208,Edouard Mendy,4,4,360,0,0,0,0,0,0,0,0,88.0,120.0,73.3,0.0,0,1.0,0,3.0,127.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,3.0,1.0,GK,30,England,Chelsea,Senegal
209,Youssouf Sabaly,4,4,360,0,0,2,1,0,0,0,0,189.0,219.0,86.3,6.0,6,1.0,4,9.0,256.0,4.0,9.0,44.4,3,12,0,7,0.0,0.0,0,4.0,3.0,DF,29,Spain,Betis,Senegal
210,Ismaila Sarr,4,4,344,1,0,10,1,0,1,0,0,52.0,81.0,64.2,4.0,2,2.0,2,1.0,132.0,9.0,19.0,47.4,3,17,3,8,1.0,0.0,0,8.0,8.0,FWMF,24,England,Watford,Senegal
211,Abdou Diallo,4,4,331,0,0,1,0,0,0,0,0,139.0,186.0,74.7,2.0,2,1.0,1,10.0,210.0,0.0,0.0,0.0,3,0,0,3,0.0,0.0,0,7.0,6.0,DF,26,Germany,RB Leipzig,Senegal
212,Boulaye Dia,4,4,318,1,0,8,3,1,0,1,0,39.0,53.0,73.6,1.0,0,1.0,1,3.0,83.0,1.0,4.0,25.0,3,3,2,1,0.0,0.0,0,5.0,7.0,FW,25,Italy,Salernitana,Senegal
213,Ismail Jakobs,4,3,278,0,1,1,0,0,0,1,0,107.0,156.0,68.6,0.0,0,3.0,4,14.0,187.0,0.0,1.0,0.0,3,6,0,18,0.0,0.0,0,8.0,3.0,DF,22,France,Monaco,Senegal
214,Nampalys Mendy,4,3,272,0,0,2,0,0,0,1,0,141.0,159.0,88.7,4.0,4,4.0,3,3.0,182.0,1.0,1.0,100.0,5,2,0,2,0.0,0.0,0,0.0,1.0,MF,29,England,Leicester City,Senegal
215,Idrissa Gana Gueye,3,3,270,0,0,4,1,0,0,2,0,107.0,133.0,80.5,2.0,1,3.0,5,3.0,158.0,1.0,2.0,50.0,4,1,0,15,0.0,0.0,0,2.0,3.0,MF,32,England,Everton,Senegal
216,Krapin Diatta,3,3,181,0,0,3,1,0,0,0,0,60.0,73.0,82.2,0.0,0,1.0,0,0.0,90.0,1.0,3.0,33.3,4,2,2,4,0.0,0.0,0,2.0,1.0,FWMF,23,France,Monaco,Senegal
217,Patha Ciss,3,2,146,0,0,1,0,0,0,1,0,46.0,57.0,80.7,3.0,3,1.0,2,4.0,77.0,1.0,3.0,33.3,4,0,0,0,0.0,0.0,0,5.0,0.0,MF,28,Spain,Rayo Vallecano,Senegal
218,Iliman Ndiaye,3,2,135,0,1,2,0,0,0,0,0,25.0,32.0,78.1,0.0,0,2.0,1,0.0,44.0,6.0,8.0,75.0,0,1,0,2,0.0,0.0,0,0.0,3.0,FWMF,22,England,Sheffield Utd,Senegal
219,Pape Gueye,3,1,153,0,0,4,2,0,0,0,0,45.0,62.0,72.6,4.0,2,2.0,2,2.0,81.0,0.0,1.0,0.0,3,3,0,1,0.0,0.0,0,5.0,3.0,MF,23,France,Marseille,Senegal
220,Pape Abou Cissa,3,1,105,0,0,0,0,0,0,0,0,28.0,37.0,75.7,0.0,0,2.0,2,6.0,49.0,1.0,1.0,100.0,1,0,0,0,0.0,0.0,0,2.0,3.0,DF,26,Greece,Olympiacos,Senegal
221,Famara Diedhiou,2,1,92,1,0,3,1,1,0,0,0,10.0,14.0,71.4,0.0,0,0.0,0,2.0,25.0,0.0,1.0,0.0,2,2,1,0,0.0,0.0,0,5.0,4.0,FW,29,Turkey,Alanyaspor,Senegal
222,Cheikhou Kouyata,1,1,72,0,0,0,0,0,0,0,0,19.0,23.0,82.6,0.0,0,2.0,2,4.0,35.0,1.0,1.0,100.0,1,1,0,2,0.0,0.0,0,1.0,2.0,MF,32,England,Nottham Forest,Senegal
